Model,F1_Mean,F1_Std,F1_CV,AUC_Mean,AUC_Std,Accuracy_Mean,Accuracy_Std,Precision_Mean,Precision_Std,Recall_Mean,Recall_Std,Training_Time_Mean,Training_Time_Total,Best_Threshold_Mean
ELM,0.9008875618342884,0.03598889218162726,3.994826181010939,0.9494650979300102,0.01627010961843123,0.9167632850241546,0.03402492658090752,0.872835035546706,0.07588531452078481,0.9394736842105263,0.05806946873300121,0.01350729465484619,0.13507294654846191,0.6065540886770797
XGBoost,0.9434199708170864,0.022673769728029453,2.4033591008670223,0.9807729199542067,0.012632479848043086,0.9541062801932366,0.020435410732571796,0.945996050732893,0.05831439906767115,0.9447368421052632,0.03514736645558297,0.07317216396331787,0.7317216396331787,0.4287814199924469
RandomForest,0.9417796883408907,0.017284719092192005,1.8353251090647382,0.9840339660880597,0.009904314848789987,0.9519323671497585,0.016143146561034383,0.920966810966811,0.04765878135898472,0.9669590643274854,0.03668512923916929,0.37688019275665285,3.7688019275665283,0.445
LogisticRegression,0.877409683503469,0.03674378897416648,4.1877574028417035,0.9365005878894769,0.03099855963077469,0.9016908212560386,0.03252341684800238,0.8797571859684862,0.05821302847960637,0.8792397660818715,0.05391625753118195,0.04081716537475586,0.4081716537475586,0.4940304693486989
