Metric,Mean,Std Dev,CV (%),Stability
Accuracy,0.9583091787439614,0.030061483874644843,3.136929556914595,SANGAT STABIL
Precision,0.9560715514275886,0.042106787010648405,4.404146002229155,SANGAT STABIL
Recall,0.9400584795321638,0.047353778851833166,5.037322664798427,STABIL
F1 Score,0.9474217074217075,0.03792444781776059,4.002911007915086,SANGAT STABIL
AUC,0.9798512484915994,0.017836419989525527,1.8203191573193616,SANGAT STABIL
