n_estimators,max_depth,learning_rate,subsample,colsample_bytree,reg_lambda,Accuracy,Precision,Recall,F1 Score,AUC
200,6,0.01,1.0,0.8,5,0.9517874396135266,0.94375006142808,0.9397660818713451,0.9393417839470471,0.9780419412729353
50,6,0.1,0.8,0.8,1,0.9495652173913044,0.9293306796402773,0.9505847953216374,0.9382795432795433,0.9790722949348682
100,6,0.01,0.8,1.0,1,0.9495652173913044,0.929564811431819,0.9505847953216374,0.9381427755111966,0.9781935548748415
200,6,0.1,0.8,0.8,5,0.9496135265700483,0.9279313479777876,0.9505847953216374,0.9380236801289433,0.9798810297348309
50,6,0.01,0.8,0.8,1,0.9495652173913044,0.934164734474332,0.9453216374269007,0.9379840453524665,0.9780392338871872
50,6,0.1,1.0,1.0,1,0.9496135265700483,0.9337394287858685,0.9450292397660819,0.9376496647371827,0.9795190135833411
200,6,0.1,0.8,1.0,5,0.9496135265700483,0.9312280701754387,0.9453216374269007,0.9374985974985975,0.9810749868498407
100,6,0.01,1.0,1.0,5,0.9495169082125605,0.9311666420954348,0.9456140350877194,0.9372947093999725,0.9736600374392772
100,6,0.01,0.8,1.0,5,0.9495169082125605,0.9360371517027865,0.9400584795321638,0.9368667163404005,0.9725343451220645
100,6,0.01,1.0,0.8,1,0.9496135265700483,0.9511237988018173,0.9292397660818714,0.936808114486133,0.979019694297472
50,6,0.1,1.0,1.0,5,0.9474396135265701,0.9174626531841501,0.9616959064327485,0.9367194217658614,0.9768905287911135
200,6,0.01,1.0,0.8,1,0.9495652173913044,0.947173264042459,0.9286549707602341,0.9364420100023816,0.9784140134286334
50,6,0.01,1.0,0.8,1,0.9495652173913044,0.952563700918964,0.9236842105263159,0.9360347895951611,0.9799866177790154
200,6,0.1,1.0,1.0,5,0.9474396135265701,0.9206088751289989,0.9505847953216374,0.9350529650529651,0.9792521427024351
200,6,0.01,0.8,0.8,5,0.9474396135265701,0.9355796353629172,0.9345029239766083,0.9343392264444896,0.9770680559423249
