Hidden Units,Activation,Reg Lambda,Accuracy,Precision,Recall,F1 Score,AUC
50,sigmoid,1e-08,0.9102415458937199,0.871204204030964,0.9172514619883041,0.8910932658301078,0.9454399888610414
50,sigmoid,0.0001,0.9102415458937199,0.871204204030964,0.9172514619883041,0.8910932658301078,0.9454399888610414
50,sigmoid,0.01,0.9080676328502415,0.8644650735961814,0.9228070175438597,0.889424459668362,0.9452415761626287
50,sigmoid,1.0,0.9058454106280195,0.8689439177654281,0.9116959064327486,0.8847166769342637,0.9454152356199138
100,relu,1.0,0.903864734299517,0.8731920086875331,0.9014619883040936,0.8817963015303667,0.9387604814505398
100,relu,1e-08,0.8973429951690821,0.8480350822806066,0.9230994152046783,0.8781574848622885,0.936974380395433
100,relu,0.0001,0.8973429951690821,0.8480350822806066,0.9230994152046783,0.8781574848622885,0.936974380395433
100,relu,0.01,0.8973429951690821,0.8480350822806066,0.9230994152046783,0.8781574848622885,0.936974380395433
100,sigmoid,1.0,0.8993719806763286,0.8739977640178879,0.8842105263157896,0.8760567543539681,0.9357336241839166
500,sigmoid,1.0,0.894975845410628,0.8762437343358395,0.8687134502923977,0.8670613817982238,0.9338678486339305
50,tanh,1e-08,0.886183574879227,0.829601313065272,0.906140350877193,0.8631773139354767,0.9227536433676784
50,tanh,0.0001,0.886183574879227,0.829601313065272,0.906140350877193,0.8631773139354767,0.9227536433676784
50,tanh,0.01,0.8818357487922706,0.8131240403379991,0.9172514619883042,0.8599420198178296,0.9225552306692656
100,sigmoid,1e-08,0.8841062801932367,0.849563231353681,0.8786549707602338,0.8594263137553932,0.9192220520436895
100,sigmoid,0.0001,0.8841062801932367,0.849563231353681,0.8786549707602338,0.8594263137553932,0.9192220520436895
100,sigmoid,0.01,0.8841062801932367,0.849563231353681,0.8786549707602338,0.8594263137553932,0.9196188774405147
50,tanh,1.0,0.8818357487922706,0.8246736999147485,0.9058479532163742,0.8590354510613393,0.9234007085615273
300,sigmoid,1.0,0.8820772946859904,0.8414234449760766,0.8801169590643274,0.8571703105139639,0.9235697267861012
50,relu,1.0,0.8685990338164252,0.8354497117687654,0.8511695906432749,0.8385396096052011,0.9021450230514558
50,relu,1e-08,0.8641545893719806,0.8218187593878131,0.8622807017543861,0.8368328540284764,0.9017335004177109
50,relu,0.0001,0.8641545893719806,0.8218187593878131,0.8622807017543861,0.8368328540284764,0.9017335004177109
50,relu,0.01,0.8641545893719806,0.8218187593878131,0.8622807017543861,0.8368328540284764,0.9017335004177109
100,tanh,1.0,0.8596618357487923,0.8199880357001099,0.8523391812865497,0.8292938663991295,0.8918724279835389
100,tanh,1e-08,0.857487922705314,0.8113727474795587,0.8628654970760234,0.8283202004254635,0.8936515671895788
100,tanh,0.0001,0.857487922705314,0.8113727474795587,0.8628654970760234,0.8283202004254635,0.8936515671895788
100,tanh,0.01,0.857487922705314,0.8113727474795587,0.8628654970760234,0.8283202004254635,0.8936515671895788
500,relu,1.0,0.8272463768115943,0.7680713566058834,0.8353801169590644,0.7949789759056259,0.8554592499767939
300,tanh,1.0,0.8142028985507246,0.784547259929613,0.7736842105263158,0.7682701684267293,0.8410899935022742
300,sigmoid,0.01,0.7924637681159421,0.719139515455305,0.802046783625731,0.7547755915870971,0.8088825458708501
500,tanh,1.0,0.7879710144927536,0.7171085581085581,0.7921052631578946,0.7454915813820342,0.8173164392462638
300,tanh,0.01,0.8032367149758454,0.792183778639661,0.7076023391812865,0.7389390516714995,0.7957548191466322
300,tanh,1e-08,0.801062801932367,0.7857735222294047,0.7076023391812865,0.7367885140370909,0.7941563012469446
300,tanh,0.0001,0.801062801932367,0.7857735222294047,0.7076023391812865,0.7367885140370909,0.7943512330208237
300,relu,1.0,0.7901449275362319,0.7486031746031745,0.735672514619883,0.7365622939152351,0.8044834307992204
300,sigmoid,1e-08,0.7880193236714976,0.7460669885669885,0.7628654970760234,0.7331582452635084,0.7968520839134874
300,sigmoid,0.0001,0.7880193236714976,0.7460669885669885,0.7628654970760234,0.7331582452635084,0.7968520839134874
500,relu,0.01,0.7593236714975845,0.6893803466648294,0.77953216374269,0.719561584313215,0.7793449673566633
500,relu,1e-08,0.7571014492753623,0.6868803466648294,0.77953216374269,0.7179004547451088,0.7763096011634023
500,relu,0.0001,0.7571014492753623,0.6868803466648294,0.77953216374269,0.7179004547451088,0.7761111884649896
500,sigmoid,0.01,0.7355072463768115,0.6780765448218393,0.7701754385964912,0.7017765631320663,0.7660288839382406
500,sigmoid,0.0001,0.7267149758454107,0.6927786848334077,0.7207602339181286,0.6818854464036761,0.7315499396639747
300,relu,1e-08,0.7333816425120773,0.709913661902826,0.7304093567251462,0.669466535180821,0.7382023732169931
300,relu,0.0001,0.7333816425120773,0.709913661902826,0.7304093567251462,0.669466535180821,0.7382023732169931
500,sigmoid,1e-08,0.7353623188405797,0.7392072562619789,0.6707602339181287,0.6666680550993282,0.7305574894025186
300,relu,0.01,0.7485507246376811,0.7394008413900055,0.6435672514619883,0.6515956771601934,0.7414249357962808
500,tanh,1e-08,0.7373429951690821,0.7147389865036924,0.650877192982456,0.6481135531135531,0.7309960858937468
500,tanh,0.0001,0.7373429951690821,0.7147389865036924,0.650877192982456,0.6481135531135531,0.7309960858937468
500,tanh,0.01,0.7373429951690821,0.7147389865036924,0.650877192982456,0.6481135531135531,0.7327825737182463
