Metric,Mean,Std Dev,CV (%),Stability
Accuracy,0.9102415458937199,0.019409097273245492,2.132301844582219,SANGAT STABIL
Precision,0.871204204030964,0.06122953293664061,7.028149388322329,STABIL
Recall,0.9172514619883041,0.04686579042139843,5.109372114797024,STABIL
F1 Score,0.8910932658301078,0.020128066276715963,2.25880578930932,SANGAT STABIL
AUC,0.9454399888610414,0.028767500162952833,3.0427632109795404,SANGAT STABIL
Training Time,0.029463028907775878,0.006882452311944966,0.0,-
