C,penalty,solver,Accuracy,Precision,Recall,F1 Score,AUC
1.0,l2,lbfgs,0.903719806763285,0.8788494152046782,0.8947368421052632,0.8808587440958382,0.9374338624338623
10.0,l2,lbfgs,0.903768115942029,0.8876388888888889,0.8836257309941521,0.8798167208068929,0.941028497168848
0.1,l2,lbfgs,0.8840096618357489,0.8553193490973812,0.8728070175438596,0.8556456267625178,0.9215283579318667
0.01,l2,lbfgs,0.8707246376811593,0.8497934173669467,0.8350877192982455,0.8348533369469902,0.8904332590736098
