Metric,Mean,Std Dev,CV (%),Stability
Accuracy,0.903719806763285,0.03280999871570358,3.630549919362079,SANGAT STABIL
Precision,0.8788494152046782,0.07907820123461572,8.997923861188315,STABIL
Recall,0.8947368421052632,0.08880634654609271,9.925415202210361,STABIL
F1 Score,0.8808587440958382,0.038835370858927416,4.40880800914228,SANGAT STABIL
AUC,0.9374338624338623,0.028982318985872068,3.091665465404161,SANGAT STABIL
