Metric,Mean,Std Dev,CV (%),Stability
Accuracy,0.9582608695652175,0.0335525321738527,3.5013985480880763,SANGAT STABIL
Precision,0.9453467000835423,0.06246176321566491,6.607286322588848,STABIL
Recall,0.956140350877193,0.06819826777596842,7.132662868312294,STABIL
F1 Score,0.9480567105567106,0.043187508173763864,4.555371814034587,SANGAT STABIL
AUC,0.9841559918314303,0.015575501041020338,1.5826252311928377,SANGAT STABIL
