Metric,Mean,Std Dev
Accuracy,0.9541545893719807,0.018889993968495035
Precision,0.9248849396217818,0.04394429187509493
Recall,0.9669590643274854,0.03866952155113828
F1 Score,0.9442021860265462,0.02092459741538631
AUC,0.9827568535536372,0.012317394703849571
