Metric,Mean,Std Dev
Accuracy,0.9102415458937199,0.019409097273245492
Precision,0.871204204030964,0.06122953293664061
Recall,0.9172514619883041,0.04686579042139843
F1 Score,0.8910932658301078,0.020128066276715963
AUC,0.9454399888610414,0.028767500162952833
