Metric,Mean,Std Dev,CV (%),Stability
Accuracy,0.903864734299517,0.02045405531626618,2.2629553449850874,SANGAT STABIL
Precision,0.8806766237456773,0.07306760693326489,8.296757852217663,STABIL
Recall,0.8903508771929826,0.07340740833915416,8.24477295631879,STABIL
F1 Score,0.8806625759064783,0.023716405386049386,2.693018419868445,SANGAT STABIL
AUC,0.935701909093722,0.02593537342073693,2.7717559586745684,SANGAT STABIL
