Model,F1_Mean,F1_Std,AUC_Mean,AUC_Std,Accuracy_Mean,Accuracy_Std,Training_Time_Mean
XGBoost,0.9458368982053192,0.03237390871345947,0.9808800550759613,0.016730696844774542,0.956231884057971,0.025808316873024328,0.10041306018829346
RandomForest,0.941402331431026,0.039479062595111164,0.9840571722516167,0.013270327064855156,0.9517874396135266,0.03223188985043797,0.3708019733428955
ELM,0.8910932658301078,0.019095160298774224,0.9454399888610414,0.02729124693125879,0.9102415458937199,0.018413086413365767,0.02917211055755615
LogisticRegression,0.8808587440958382,0.03684246770746208,0.9374338624338623,0.027495041960669136,0.903719806763285,0.031126297790646792,0.03513715267181396
